Direction of Wave,Type of Bottom,Query,Expected Answer
Left and right,Sand with rocks,Where can I find surf spots with both left and right waves near Ericeira?,"You can check out spots like Gigi, Praia das Amoeiras, and Furnas for both left and right waves near Ericeira. They cater to various skill levels and offer different atmospheres."
Left and right,Sand with rocks,What surf spots have a sand bottom with some rocks around Ericeira?,"Furnas, Praia do Sul, and Gigi feature a sandy bottom with some rocks, providing a unique surfing experience. Just be cautious of the rocks near the shoreline!"
Left and right,Sand with rocks,Can you recommend a less crowded wave with smooth conditions for intermediates?,"For a less crowded and smooth surf experience, try Gigi or Praia das Amoeiras, both of which are perfect for intermediate surfers looking for some space to ride."
Left and right,Sand with rocks,What's the best tide to surf at Praia das Amoeiras?,"Praia das Amoeiras is best surfed during mid tide when the sandbanks line up nicely, offering great lefts and rights without heavy crowds."
Left and right,Sand with rocks,Are there any spots near Santa Cruz that have good lefts and rights?,"Praia das Amoeiras is a swell magnet and has good lefts and rights, especially when the busy Santa Cruz is too crowded. It’s really a gem worth exploring."
Left and right,Sand with rocks,How is the wave quality at Furnas during larger swells?,"Furnas goes off during larger swells, providing good rights, particularly when the tide is lower. Just be aware of the rocks close to the beach!"
Left and right,Sand with rocks,Which surf spot has a view but involves a hike down the cliffs?,"Praia da Vigia requires a trek down the cliffs, which might be challenging with boards, but it's worth it for the reduced crowds and beautiful views."
Left and right,Sand with rocks,What's the crowd like at Praia do Sul?,"The crowd factor at Praia do Sul is moderate, making it a nice spot to enjoy some waves without feeling too congested in the water."
Left and right,Sand with rocks,Can I surf at Praia da Vigia at low tide?,"No, it's better to surf Praia da Vigia during mid to high tide for the best experience, as low tide might expose rocks and make access more difficult."
Left and right,Sand with rocks,What are some tips for surfing at Gigi?,"When surfing at Gigi, time it to hit mid tide for optimal conditions. It’s perfect for intermediate to pro surfers, so enjoy those lefts and rights with less competition!"
Left and right,"Sand, Reef",Where can I find a sand bottom beach break suitable for all surf levels?,"Foz do Lizandro is a great option for you! It has a sandy bottom and works well for all surf levels, especially from low to mid tide. It's consistent and offers fun waves with multiple peaks along the beach."
Left and right,"Sand, Reef",Are there any good left and right options with a sandy bottom for beginners?,"Prainha at Praia do Baleal Norte is perfect for beginners as it provides lefts and rights with a forgiving sandy bottom. It can be surfed at all tides, but mid to high tide conditions are generally best."
